IdCategoriaTarifa,TipoVehiculo,NumRegistros,TraficoTotal,TarifaPromedio,RecaudacionTotal
E1-III,Especiales,4,10326,7500.0,75869400
E1-IV,Especiales,4,7494,7500.0,55012800
E1-V,Especiales,4,6457,17100.0,108100300
E1-VI,Especiales,4,11724,22100.0,253348400
E1-VII,Especiales,4,13908,25150.0,342458400
E2-II,Especiales,4,1247,7400.0,9198100
E2-III,Especiales,4,10034,7400.0,72786400
E2-IV,Especiales,4,7318,7400.0,53069000
E2-V,Especiales,4,7053,17200.0,118843600
E2-VII,Especiales,4,11709,25250.0,289303100
EA,Especiales,4986,206207,8059.606899318091,1635765800
EC,Especiales,616,3303582,5798.376623376624,18776675100
EG,Especiales,5297,235038,5683.028129129696,1423094200
ER,Especiales,5235,1003186,9080.401146131806,8613918700
EXCI,Especiales,10,1499,3340.0,4990700
EXCII,Especiales,10,145,5460.0,783000
EXCIII,Especiales,10,12,5460.0,66900
I,Livianos,11190,1228513350,8500.321715817694,10390898022000
IE,Especiales,5625,70328363,3499.1644444444446,123743567900
IE1,Especiales,39,92446,3571.7948717948716,143112200
IE10,Especiales,154,1955210,2586.3636363636365,5029399300
IE2,Especiales,11,117773,6736.363636363636,758607100
IE3,Especiales,7,32,3714.285714285714,119200
IEE,Especiales,624,2718442,3190.5448717948716,11032633800
IEEE,Especiales,415,763279,4163.1325301204815,3236313900
II,Livianos,11174,264897560,11817.48702344729,2701207828300
IIA,Especiales,194,588536,5218.556701030928,2909616600
IIE,Especiales,3598,26315555,4999.332962757087,68589224700
IIE1,Especiales,62,49284,7251.612903225807,251273100
III,Pesados,11162,106347094,16539.867407274684,1703964729600
IIIE,Especiales,1426,1348414,3920.056100981767,4813516500
IV,Pesados,11056,69778234,22432.073082489147,1574123186200
IVE,Especiales,1154,1013994,5210.398613518198,3941269700
IX,Especiales,10,81504,6880.0,621602000
IXE,Especiales,123,1049515,5195.934959349594,6155717700
POLCA,Especiales,1110,353306,0.0,0
V,Pesados,11123,92802996,31240.151038388925,2939897492100
VE,Especiales,591,446764,12548.900169204739,6852785700
VE1,Especiales,7,1485,20728.571428571428,30698800
VI,Especiales,5660,24295639,43690.971731448764,1055891059100
VIE,Especiales,87,26103,7895.402298850575,359777000
VII,Especiales,5355,37496396,48932.99719887955,1709480115000
VIIE,Especiales,95,51678,8338.947368421053,1045452500
VIII,Especiales,26,5733,2876.923076923077,143325000
VIIIE,Especiales,24,20823,7291.666666666667,141086600
