Peaje,TraficoTotal,RecaudacionTotal,TarifaPromedio,TotalEvasores
ANDES,98751758,974104400300,20275.829875518673,0
GUARNE,57144577,881968584000,24962.214611872147,12
CHUSACA,67129672,856944832400,17530.86124401914,130
CHINAUTA,54060654,728106929100,16475.75083426029,111
PIPIRAL,26901420,656836341200,31489.27125506073,2
BOQUER�N I,31018507,606762706100,24997.07078925956,139
GUALANDAY,41514524,552516518900,15964.572605561278,0
SIBERIA,49468136,550901095500,14785.604311008468,21
R�O BOGOT�,70959150,529516123200,11225.400843881856,59
EL ROBLE,53097676,481773412700,11598.43068875327,0
CHICORAL,27070800,416743980700,16571.706864564007,0
NARANJAL,21518558,383739779300,20287.02147525677,43
EL KOR�N,12185148,379773084900,25955.25773195876,28
TUTA,38034703,366972255300,10356.963890935887,0
ALBARRAC�N,35635998,346070579000,12412.921890067502,0
COROZAL,18441164,339132453500,21067.578125,118
CIRCASIA,22582306,330533856700,28741.015625,136
CERRITOS II,21859894,308049102200,18762.953020134228,0
TARAPAC� II,22749239,301214703200,26225.0,44
CERRITO,29241924,298345968800,16728.25396825397,114
OCOA,27054988,288493758900,21555.339805825242,4
TUCURINCA,18101115,253418505400,14567.554240631163,39
FLANDES,17344064,243285427700,19516.322089227422,102
CORZO,26997191,238975124200,11234.881756756757,41
LA LOMA,15287867,238337597700,13045.183714001985,57
CAIQUERO,19701515,231113291300,16741.749723145072,0
LAS PALMAS,27553250,227912057300,13048.87983706721,12
EL COPEY,16125547,224660695100,13735.124378109453,46
ESTAMBUL,28397889,223432192800,15208.611111111111,276
NEIVA,14922410,211082533700,18571.561530506722,2
GALAPA 02,20970385,204637781300,12982.252559726963,105
MEDIACANOA,13696487,203870076900,16714.42155309033,30
PUERTO COLOMBIA,16578695,202465087600,41402.6284348865,0
GAMBOTE,16229623,199095839100,13328.637951105937,88
VILLA RICA,19912564,193781798100,14495.833333333334,86
SABANAGRANDE,24851089,191880281300,11538.817204301075,28
LA LIBERTAD,10212135,188726942700,30474.0,0
MANGUITOS,8718552,184754455900,23084.704184704184,0
LA APARTADA,8154391,180868675900,27422.772277227723,0
LAS FLORES,29137755,175080294500,10460.307298335467,0
EL PLACER,16149659,174643691200,17806.19902120718,0
EL PAT�,10995227,172605616400,21780.703883495145,2
LOBOGUERRERO,10042036,165943544200,13027.469135802468,2
CIAT,19524609,160825413700,14949.06914893617,231
AMAG�,18641629,159244391200,11646.30593132154,3
PRIMAVERA,14777939,156479555500,12985.76874205845,1109
ALVARADO,11524519,150806385900,17173.469387755104,1522
TURBACO,44977411,147172192000,4657.687074829932,3973
PUENTE AMARILLO,27808267,146932700500,13299.014778325123,779
HONDA,10213161,142234421500,16902.706359945874,2
SANT�GUEDA,8818721,139077413300,21038.49154746424,60
BAYUNCA,11121238,138922774800,13390.994152046784,21
TARAPAC� I,7800274,138164227100,26255.859375,54
COCORN�,7488392,138047335600,17186.37059724349,2
LOS GARZONES 2,28188791,136162416100,10876.551724137931,0
LOS ACACIOS,17204804,134289268600,12697.8898007034,16
MARAHUACO,11595729,133349095200,43612.611464968155,0
SUPIA,11875043,131806028100,12905.203045685279,0
NEGUANJE,9551035,129568212600,21191.73098125689,6
EL DIF�CIL,7324423,125233799800,14533.847736625514,22
PTO TRIUNFO,6244147,124812029000,23981.956521739132,0
TUNIA,11801802,122156984500,15022.41653418124,47
MORRISON,9022044,120660064500,12884.0,0
PAVAS,10804084,120203639600,15716.727272727272,23
PURGATORIO,10356021,119419195000,16957.952622673434,0
AGUAS NEGRAS,6386242,116933104100,16607.5,0
CENCAR,12320359,114682635700,15495.265423242468,84
PAILITAS,7992339,113015632200,11188.505747126437,5
IRAC�,10130960,111856049800,23370.263788968827,0
PUENTE PLATO,6190811,111658499300,14521.685508735869,10
LOS CAUCHOS,12205735,109625847100,12114.357682619648,9289
ABURR�,5780136,107313034900,24948.192771084337,0
ACAPULCO,8569236,104567297600,18322.298221614226,0
ZAMBITO,5438787,103798332000,16607.5,0
CASABLANCA,11371298,103160423800,13514.945652173914,0
LA G�MEZ,4972879,99846196400,16607.5,0
PASACABALLOS,5221818,99598795900,14280.02915451895,171
LOS PATIOS,11104797,97942431600,16781.684210526317,223
LA LIZAMA,9700587,97031641100,13195.752009184846,4
SAN ONOFRE,4720456,96804255200,23760.89108910891,0
EL CARMEN,8296873,94865548000,11669.34131736527,32
VERACRUZ,8672083,93332947700,14828.940886699507,122
EL EBANAL,6665101,92594433300,21582.723112128147,0
VALENCIA,10099527,86917908400,13200.47619047619,6
PUENTE QUETAME,5303375,85714736800,17947.115384615383,0
SAN BERNARDO,8250911,85395441800,15982.423681776134,17
PALMITAS,4837858,84802721600,25463.20224719101,0
SAN CRISTOBAL,4827378,84348391700,25250.277777777777,0
